GeneSymb	GSM275676	GSM275677	GSM275678	GSM275679	GSM275680	GSM275681	GSM275682	GSM275683	GSM275684	GSM275685	GSM275686	GSM402417	GSM402418	GSM402419	GSM402420	GSM402421	GSM402422	GSM468593	GSM468594	GSM468595	GSM468596	GSM468597	GSM468598	GSM468599	GSM468600	GSM468601	GSM468602	GSM490043	GSM490044	GSM490045	GSM649496	GSM649497	GSM649498	GSM1230054_284_4795_04_03_2012.CEL	GSM1230055_284_4796_04_03_2012.CEL	GSM1230056_284_4797_04_03_2012.CEL
AAAS	 8.3558	 7.9903	 7.9073	 7.5706	 8.4616	 8.4578	 8.3200	 7.9886	 8.2055	 8.0077	 7.8956	 8.2866	 8.0765	 8.1230	 8.1073	 8.0102	 7.9945	 8.0862	 8.3041	 8.0783	 7.9766	 8.1829	 8.1203	 7.9965	 8.0926	 8.1676	 7.9916	 8.0354	 8.0032	 8.1959	 8.2534	 7.9011	 8.2089	 7.9977	 8.3214	 7.9154
AACS	 9.7471	 9.5590	 9.6436	 9.2765	 9.0268	 9.0373	 9.0491	 8.8503	 9.1345	 9.3283	 9.2739	 9.3273	 9.3608	 9.2478	 9.3011	 9.3595	 9.1553	 9.1785	 9.3242	 9.2019	 9.4837	 9.2946	 9.2158	 9.3105	 9.2218	 9.4336	 9.2551	 9.4346	 9.3185	 9.4081	 9.1814	 9.2032	 9.2058	 9.3910	 9.4076	 9.3627
AACSP1	 3.8766	 3.8741	 3.7483	 4.1019	 4.0068	 3.9892	 3.9043	 4.1965	 4.3125	 4.1027	 4.2347	 3.8667	 4.2457	 4.0041	 4.0038	 4.1139	 3.9123	 3.9977	 4.2223	 3.8640	 4.3556	 3.8213	 4.3073	 4.0993	 3.9204	 3.7837	 3.8726	 3.9770	 3.8946	 4.1230	 4.2852	 3.8339	 4.0329	 3.9094	 3.8446	 4.2405
AADAC	 5.5335	 5.0473	 5.5364	 5.1321	 5.2660	 5.2452	 5.5944	 5.2689	 5.1290	 5.2035	 5.1977	 4.8329	 5.0263	 5.4262	 5.2623	 5.5277	 5.5350	 5.2121	 5.7081	 4.7103	 4.9303	 5.3187	 5.4623	 4.9483	 5.1030	 5.8105	 5.4804	 5.3815	 5.2429	 4.9791	 5.1681	 5.3878	 5.4510	 5.1765	 5.1449	 5.2822
AADACL2	 3.5135	 3.5397	 4.0184	 3.5417	 3.6141	 3.8447	 3.6843	 3.4485	 3.4950	 3.5009	 3.5725	 3.5633	 3.7031	 3.6376	 3.6436	 3.5019	 3.6376	 3.4122	 3.7568	 3.7982	 3.2691	 3.5663	 3.6474	 3.6243	 3.7801	 3.7806	 3.5100	 3.7989	 3.5892	 3.4418	 3.6485	 3.6861	 3.5226	 3.7584	 3.5721	 3.4994
AADAT	 6.7773	 7.0387	 7.0724	 6.9887	 7.9652	 7.9130	 7.9576	 6.7158	 6.6573	 6.7981	 6.9332	 6.8864	 6.8809	 7.1069	 7.3368	 7.3441	 7.1695	 6.7671	 7.2473	 7.0328	 6.7349	 6.9604	 7.3549	 7.2588	 7.2947	 7.2533	 7.3035	 6.9111	 6.9550	 7.0073	 7.3996	 7.4701	 6.9814	 7.0639	 6.9434	 6.8662
AAED1	 8.6074	 8.4387	 8.5083	 8.2987	 8.7424	 8.6800	 8.9883	 7.3576	 7.6123	 7.9357	 7.8620	 8.4044	 8.3624	 8.5118	 8.2058	 8.2436	 8.2472	 8.6396	 8.5075	 8.8114	 8.5832	 8.6362	 8.0500	 8.1918	 7.8377	 8.0020	 8.0327	 8.5216	 8.5135	 8.5423	 8.1701	 8.1648	 8.0629	 8.5559	 8.5393	 8.4823
AAGAB	 7.4246	 7.2836	 7.3690	 7.0937	 6.9081	 6.9788	 7.1557	 7.1280	 7.0757	 7.1091	 7.0230	 7.1264	 7.1252	 7.2631	 7.0852	 7.2795	 7.1172	 7.4164	 7.1689	 7.4539	 7.2128	 7.1676	 6.9328	 7.2186	 6.9789	 7.0197	 7.0915	 7.3046	 7.2208	 7.2509	 6.9745	 6.9367	 7.3092	 7.3070	 7.3304	 7.1389
AAK1	 6.1407	 6.2150	 6.2251	 6.1790	 5.8658	 5.9030	 5.8486	 6.1329	 6.0009	 6.0014	 5.9617	 6.0799	 5.9763	 6.1727	 6.0273	 6.0475	 6.0948	 6.0701	 6.2464	 6.1198	 6.1893	 6.2092	 5.9936	 5.9284	 5.9456	 5.9618	 6.0001	 6.1393	 6.1707	 6.1458	 5.9874	 5.9396	 6.0156	 5.9896	 6.1962	 6.2700
AAMP	 9.3431	 9.3490	 9.5049	 9.2963	 9.7994	 9.9144	 9.6578	 9.5345	 9.6928	 9.5871	 9.5785	 9.6417	 9.4656	 9.6134	 9.5256	 9.5714	 9.6602	 9.7564	 9.6970	 9.9092	 9.9606	 9.8928	 9.2774	 9.3557	 9.4237	 9.1350	 9.3887	 9.6080	 9.6105	 9.6390	 9.6524	 9.4146	 9.5535	 9.6513	 9.6370	 9.5692
